,Company,TypeName,Cpu,Ram,Gpu,OpSys,Weight,Price,ppi,IPS,TouchScreen
586,HP,Gaming,Intel Core i7,16,Nvidia GeForce,Windows 10,3.78,133637,127.0,1,0
587,Lenovo,Ultrabook,Intel Core i7,12,Intel HD,Windows 10,1.4,149248,157.0,1,0
588,Lenovo,Notebook,Intel Core i7,12,Intel HD,Windows 10,2.2,54329,100.0,0,1
589,Asus,Gaming,Intel Core i5,8,Nvidia GeForce,Windows 10,2.73,157902,127.0,1,0
590,Asus,2 in 1 Convertible,Intel Core i5,8,Intel HD,Windows 10,2.2,65926,100.0,0,1
591,Lenovo,Notebook,AMD A-Series,12,AMD Radeon,Windows 10,2.2,84660,141.0,0,0
592,Dell,2 in 1 Convertible,Other Intel Processor,4,Intel HD,Windows 10,1.39,53794,135.0,0,1
594,Lenovo,Notebook,Intel Core i3,4,Intel HD,No OS,2.8,47192,127.0,0,0
595,Lenovo,Notebook,Intel Core i3,8,Intel HD,Windows 10,2.29,40947,100.0,0,0
596,Lenovo,2 in 1 Convertible,Intel Core i7,8,Intel HD,Windows 10,1.37,180650,166.0,1,1
597,Lenovo,Notebook,Intel Core i5,8,Intel HD,Windows 10,1.7,131496,157.0,1,0
598,Dell,2 in 1 Convertible,Intel Core i5,8,Intel HD,Windows 10,1.34,148981,176.0,0,1
599,Dell,Workstation,Intel Core i7,8,Nvidia Quadro,Windows 10,2.06,157277,141.0,0,1
600,HP,Notebook,Intel Core i7,8,Intel HD,Windows 10,1.84,108747,141.0,0,0
601,HP,Notebook,Intel Core i3,4,Intel HD,Windows 10,2.1,59635,100.0,0,0
602,Acer,Notebook,Other Intel Processor,4,Intel HD,Windows 10,1.6,29350,157.0,0,0
603,MSI,Gaming,Intel Core i7,16,Nvidia GeForce,Windows 10,4.14,196173,127.0,0,0
604,Dell,Notebook,Intel Core i3,4,AMD Radeon,Linux,2.18,41483,100.0,0,0
605,MSI,Gaming,Intel Core i7,16,Nvidia GeForce,Windows 10,1.8,205094,282.0,0,0
606,Toshiba,Notebook,Intel Core i7,8,Intel HD,Windows 10,2.2,124805,141.0,1,0
607,Lenovo,Notebook,Intel Core i5,6,Intel HD,Windows 10,2.4,50314,141.0,0,0
608,Lenovo,2 in 1 Convertible,Intel Core i7,8,Intel HD,Windows 10,2.0,115884,141.0,1,1
609,Acer,Notebook,Other Intel Processor,4,Intel HD,Windows 10,1.6,31134,112.0,0,0
610,Lenovo,Notebook,Other Intel Processor,32,Nvidia Quadro,Windows 10,2.5,437040,282.0,1,0
611,Dell,Gaming,Intel Core i7,16,Nvidia GeForce,Windows 10,2.59,78416,141.0,0,0
612,Dell,Notebook,Intel Core i3,4,Intel HD,Linux,2.18,39600,100.0,0,0
613,Dell,Notebook,Intel Core i3,4,Intel HD,Linux,2.25,32026,100.0,0,0
614,Dell,Notebook,Intel Core i5,4,Intel HD,Linux,1.93,77523,100.0,0,0
615,Asus,Gaming,Intel Core i7,8,Nvidia GeForce,Windows 10,3.0,104197,127.0,0,0
616,Dell,Notebook,Intel Core i5,4,AMD Radeon,Linux,2.18,50760,141.0,0,0
617,HP,Ultrabook,Intel Core i7,8,Intel HD,Windows 10,1.84,123913,141.0,0,0
618,MSI,Gaming,Intel Core i7,16,Nvidia GeForce,Windows 10,2.94,202316,141.0,0,0
619,Acer,2 in 1 Convertible,Other Intel Processor,4,Intel HD,Chrome OS,1.25,33811,135.0,1,1
620,HP,Notebook,Intel Core i5,8,Intel HD,Windows 10,2.31,100272,112.0,0,0
621,Lenovo,Notebook,Intel Core i5,8,Intel HD,Windows 7,1.65,130693,157.0,0,0
622,Dell,Notebook,Intel Core i5,4,AMD Radeon,Windows 10,2.2,69227,141.0,0,0
624,HP,Notebook,Intel Core i5,4,Intel HD,Windows 7,1.88,83144,100.0,0,0
625,Lenovo,Notebook,Intel Core i7,8,Nvidia GeForce,Windows 10,2.2,80200,141.0,0,0
627,Lenovo,Notebook,Intel Core i5,4,Intel HD,No OS,2.2,41750,141.0,0,0
628,Asus,2 in 1 Convertible,Intel Core i5,6,Intel HD,Windows 10,1.5,57006,166.0,0,1
629,Dell,Notebook,Intel Core i7,8,Nvidia GeForce,Windows 10,2.0,162362,141.0,0,0
630,Asus,Ultrabook,Intel Core i7,16,Intel HD,Windows 10,1.1,169499,157.0,0,0
631,Dell,Gaming,Intel Core i7,16,Nvidia GeForce,Windows 10,2.62,131942,141.0,0,0
632,Lenovo,Notebook,Intel Core i5,4,Intel UHD,Windows 10,1.8,73955,141.0,0,0
633,Lenovo,Notebook,Intel Core i3,4,Nvidia GeForce,Windows 10,2.2,51653,141.0,0,0
634,Asus,Notebook,Other Intel Processor,8,Intel HD,Windows 10,2.0,35595,100.0,0,0
635,Asus,Notebook,Intel Core i5,8,Nvidia GeForce,Windows 10,1.99,80880,141.0,0,0
636,Dell,Ultrabook,Intel Core i5,8,Intel UHD,Windows 10,1.23,166733,276.0,0,1
637,Lenovo,Notebook,Other Intel Processor,2,Intel HD,Windows 10,1.42,22213,112.0,0,0
638,Lenovo,2 in 1 Convertible,Intel Core i7,8,Intel HD,Windows 10,1.37,156779,166.0,1,1
639,Dell,Notebook,Intel Core i7,16,Nvidia GeForce,Windows 10,2.06,214015,282.0,0,1
640,Lenovo,Gaming,Intel Core i7,8,Nvidia GeForce,Windows 10,2.5,98934,141.0,1,0
642,Lenovo,Ultrabook,Intel Core i7,16,Intel HD,Windows 10,1.14,218564,157.0,1,0
643,Asus,Gaming,Intel Core i7,8,Nvidia GeForce,No OS,2.5,104286,141.0,1,0
644,Acer,Notebook,Intel Core i3,4,Intel HD,Windows 10,2.4,40144,100.0,0,0
645,Lenovo,Notebook,Other Intel Processor,4,Intel HD,Windows 10,1.43,24444,112.0,0,0
646,Acer,Ultrabook,Intel Core i5,8,Intel Graphics,Windows 10,1.8,81984,157.0,1,0
648,Toshiba,Notebook,Intel Core i5,8,Intel HD,Windows 10,1.2,108212,166.0,0,0
649,Lenovo,Ultrabook,Intel Core i7,8,Intel HD,Windows 10,1.36,141309,176.0,1,0
650,Asus,Gaming,Intel Core i7,32,Nvidia GeForce,Windows 10,3.8,249699,127.0,1,0
651,Acer,Gaming,Intel Core i5,8,Nvidia GeForce,Linux,2.4,63250,141.0,0,0
652,Dell,Ultrabook,Intel Core i5,8,Intel UHD,Windows 10,1.2,129346,166.0,0,0
653,MSI,Gaming,Intel Core i7,8,Nvidia GeForce,Windows 10,2.2,106320,141.0,0,0
654,HP,Notebook,Intel Core i3,4,Intel HD,No OS,1.86,32553,100.0,0,0
655,Toshiba,Notebook,Intel Core i5,8,Intel HD,Windows 10,2.0,94919,141.0,1,0
656,Dell,Notebook,Intel Core i7,8,AMD Radeon,Windows 10,2.2,81984,141.0,0,0
657,Dell,Notebook,Intel Core i7,16,AMD Radeon,Windows 10,2.2,101253,141.0,0,0
658,Lenovo,Gaming,Intel Core i7,8,Nvidia GeForce,Windows 10,3.31,106695,141.0,1,0
659,Dell,Gaming,Intel Core i7,32,Nvidia GeForce,Windows 10,4.42,280777,255.0,1,0
660,Dell,Notebook,Intel Core i5,8,Intel HD,Windows 10,1.56,109639,157.0,0,0
661,Lenovo,Notebook,Other Intel Processor,4,Intel HD,Windows 10,2.2,37379,100.0,0,0
662,Lenovo,Notebook,Intel Core i5,4,Intel HD,Windows 10,2.2,47727,141.0,0,0
663,HP,Notebook,Intel Core i3,6,AMD Radeon,Windows 10,2.04,48084,141.0,0,0
664,MSI,Gaming,Intel Core i7,8,Nvidia GeForce,Windows 10,2.7,132635,127.0,0,0
665,Toshiba,Notebook,Intel Core i3,4,Intel HD,Windows 10,2.1,44427,100.0,0,0
666,Dell,Notebook,Intel Core i5,8,Intel HD,Windows 10,2.06,85196,141.0,0,0
667,HP,Notebook,Intel Core i7,8,AMD Radeon,Windows 10,2.1,66461,141.0,0,0
668,Toshiba,Notebook,Intel Core i5,8,Intel HD,Windows 10,2.0,112226,141.0,1,0
669,Acer,Notebook,Intel Core i3,4,Intel HD,Linux,2.1,36755,100.0,0,0
671,Lenovo,Notebook,Intel Core i5,8,AMD Radeon,Windows 10,1.9,72969,141.0,0,0
672,Lenovo,2 in 1 Convertible,Intel Core i5,8,Intel HD,Windows 10,1.3,92243,166.0,1,1
673,Lenovo,Notebook,AMD E-Series,4,AMD Radeon,Windows 10,2.2,31134,100.0,0,0
674,HP,2 in 1 Convertible,Intel Core i3,4,Nvidia GeForce,Windows 10,1.63,62358,157.0,1,1
675,MSI,Gaming,Intel Core i7,16,Nvidia GeForce,Windows 10,2.4,115438,141.0,0,0
676,Asus,Ultrabook,Intel Core i5,8,Intel HD,Windows 10,1.1,101253,157.0,0,0
677,HP,2 in 1 Convertible,Other Intel Processor,8,Intel HD,Chrome OS,1.4,44159,135.0,0,1
679,Acer,Gaming,Intel Core i5,16,Nvidia GeForce,Windows 10,2.5,115884,141.0,0,0
680,MSI,Gaming,Intel Core i5,8,Nvidia GeForce,Windows 10,2.2,89023,141.0,0,0
681,Asus,Notebook,Other Intel Processor,4,Intel HD,Windows 10,1.86,37379,100.0,0,0
682,Dell,Gaming,Intel Core i5,16,Nvidia GeForce,Windows 10,3.21,182970,141.0,0,0
683,HP,Notebook,Intel Core i3,4,AMD Radeon,Windows 10,2.5,62358,127.0,1,0
684,Lenovo,2 in 1 Convertible,Intel Core i7,8,Intel UHD,Windows 10,1.19,133726,166.0,1,1
685,Dell,Gaming,Intel Core i7,16,Nvidia GeForce,Windows 10,3.49,251015,141.0,0,0
686,HP,Notebook,Intel Core i5,4,AMD Radeon,Windows 10,1.86,54651,100.0,0,0
687,Dell,Notebook,Intel Core i3,4,AMD Radeon,Windows 10,2.2,48679,100.0,0,0
688,HP,Notebook,AMD A-Series,6,AMD Radeon,Windows 10,2.65,50760,127.0,1,0
689,Lenovo,Notebook,Other Intel Processor,4,Intel HD,Windows 10,2.1,28369,100.0,0,0
690,Acer,Notebook,Other Intel Processor,4,Intel HD,Chrome OS,1.45,33454,112.0,0,0
691,Lenovo,Notebook,Intel Core i5,4,Intel HD,Windows 10,1.7,62358,157.0,0,0
692,HP,Workstation,Intel Core i7,8,Nvidia Quadro,Windows 10,3.14,170212,127.0,0,0
693,Lenovo,2 in 1 Convertible,Intel Core i7,8,Intel HD,Windows 10,1.42,231054,210.0,0,1
694,Toshiba,Notebook,Intel Core i5,8,Intel HD,Windows 10,1.5,86801,166.0,1,0
695,Acer,Netbook,Other Intel Processor,4,Intel HD,Windows 10,1.4,23997,135.0,0,0
696,Lenovo,2 in 1 Convertible,Intel Core i7,16,Intel HD,Windows 10,1.38,156028,157.0,0,1
697,Asus,2 in 1 Convertible,Other Intel Processor,4,Intel HD,Chrome OS,1.2,59681,176.0,0,1
698,Toshiba,Ultrabook,Intel Core i7,16,Intel HD,Windows 10,1.36,167447,166.0,0,1
699,HP,Notebook,Intel Core i7,4,AMD Radeon,Windows 10,2.1,61466,141.0,1,0
700,Dell,Gaming,Intel Core i5,8,Nvidia GeForce,Windows 10,2.56,73063,141.0,0,0
701,Lenovo,Notebook,AMD A-Series,4,AMD Radeon,Windows 10,2.2,35595,141.0,0,0
702,Lenovo,Notebook,AMD A-Series,8,AMD Radeon,Windows 10,2.2,38271,100.0,0,0
703,Lenovo,Notebook,Intel Core i5,4,Intel HD,Windows 10,2.1,55440,141.0,0,0
704,Lenovo,Notebook,Intel Core i3,4,Intel HD,No OS,1.9,40144,100.0,0,0
705,Dell,Notebook,Intel Core i5,8,Intel HD,Windows 10,2.18,70922,141.0,0,0
706,Acer,2 in 1 Convertible,Intel Core i5,8,Intel UHD,Windows 10,1.6,89121,166.0,1,1
707,Lenovo,Workstation,Intel Core i7,16,Nvidia Quadro,Windows 7,2.18,165485,141.0,0,0
708,Lenovo,Notebook,Intel Core i5,8,Intel HD,Windows 10,1.8,106249,157.0,0,0
709,HP,Notebook,AMD A-Series,6,AMD Radeon,Windows 10,2.71,58433,127.0,1,0
710,Lenovo,Gaming,Intel Core i7,8,Nvidia GeForce,Windows 10,2.5,111423,141.0,1,0
711,Dell,Notebook,Intel Core i5,8,Nvidia GeForce,Linux,1.64,97150,157.0,0,0
712,Dell,Notebook,Intel Core i5,8,Intel HD,Linux,1.98,64766,141.0,0,0
713,Asus,Notebook,Other Intel Processor,4,Intel HD,Windows 10,1.5,26585,157.0,0,0
714,Dell,Notebook,Intel Core i5,16,Intel HD,Windows 10,1.93,127272,141.0,0,0
715,Lenovo,Notebook,Intel Core i5,8,Nvidia GeForce,Windows 10,1.87,76459,157.0,1,0
716,Dell,Notebook,Intel Core i5,8,Intel HD,Windows 10,1.9,105179,141.0,0,0
717,Lenovo,Notebook,AMD A-Series,4,AMD Radeon,Windows 10,2.19,26585,100.0,0,0
719,HP,Notebook,Intel Core i7,8,Nvidia GeForce,Windows 10,2.63,107052,127.0,0,0
720,Lenovo,Ultrabook,Intel Core i7,8,Intel HD,Windows 10,1.17,150465,210.0,1,0
721,HP,2 in 1 Convertible,Intel Core i5,8,Intel HD,Windows 10,1.58,74633,118.0,1,1
722,Lenovo,Ultrabook,Intel Core i5,8,Intel HD,Windows 10,1.32,133726,157.0,1,0
723,Dell,Gaming,Intel Core i7,32,Nvidia GeForce,Windows 10,4.36,326455,255.0,0,0
724,MSI,Gaming,Intel Core i7,8,Nvidia GeForce,Windows 10,2.7,120298,127.0,0,0
725,Lenovo,Notebook,Intel Core i5,4,Intel HD,No OS,1.9,43704,100.0,0,0
726,Dell,Notebook,Intel Core i5,8,AMD Radeon,Windows 10,2.2,64142,141.0,0,0
727,Dell,2 in 1 Convertible,Intel Core i3,4,Intel HD,Windows 10,1.71,57897,166.0,0,1
728,Dell,Notebook,Intel Core i5,8,AMD Radeon,Linux,2.32,52591,100.0,0,0
729,HP,Notebook,AMD A-Series,4,AMD Radeon,Windows 10,2.1,43624,141.0,0,0
730,Acer,Gaming,Intel Core i7,16,Nvidia GeForce,Windows 10,4.2,172621,127.0,1,0
731,Dell,Notebook,Intel Core i5,12,Intel HD,Windows 10,2.25,57897,100.0,0,0
732,HP,Notebook,AMD A-Series,6,AMD Radeon,Windows 10,2.1,57986,141.0,0,0
733,Acer,Notebook,Intel Core i5,4,Intel HD,Windows 10,2.4,49868,100.0,0,0
734,Lenovo,Notebook,Intel Core i5,8,Intel HD,Windows 10,1.44,85642,166.0,1,0
735,Lenovo,Notebook,Intel Core i7,4,Intel HD,Windows 10,1.85,69495,141.0,0,0
736,HP,Workstation,Intel Core i7,16,Nvidia Quadro,Windows 10,2.6,215799,141.0,0,0
737,Dell,2 in 1 Convertible,Intel Core i5,8,Intel UHD,Windows 10,1.55,58789,166.0,0,1
738,MSI,Gaming,Intel Core i7,16,Nvidia GeForce,Windows 10,1.8,186849,141.0,0,0
739,Acer,Notebook,Intel Core i3,4,Intel HD,Windows 10,2.4,36647,100.0,0,0
740,Dell,Notebook,Intel Core i7,8,Nvidia GeForce,Windows 10,2.0,107676,141.0,0,0
741,Dell,Notebook,Intel Core i3,8,Intel HD,Windows 10,2.0,59325,100.0,0,0
742,Toshiba,Notebook,Intel Core i5,8,Intel HD,Windows 10,1.25,136937,157.0,1,1
743,Lenovo,2 in 1 Convertible,Intel Core i5,8,Intel HD,Windows 10,1.7,89121,157.0,0,1
744,Lenovo,Workstation,Intel Core i7,16,Nvidia Quadro,Windows 10,2.5,294304,282.0,1,0
745,Acer,Notebook,Other Intel Processor,2,Intel HD,Chrome OS,1.68,29439,112.0,0,0
747,HP,Notebook,Intel Core i3,8,Intel HD,Windows 10,1.86,48084,141.0,0,0
748,Dell,Notebook,Intel Core i5,8,Intel HD,Windows 10,1.6,100514,112.0,0,0
749,HP,Workstation,Other Intel Processor,16,Nvidia Quadro,Windows 7,3.0,391543,127.0,1,0
750,Lenovo,Netbook,Other Intel Processor,4,Intel HD,Windows 10,1.4,42375,135.0,0,1
751,HP,Notebook,Intel Core i5,8,Intel HD,Windows 10,1.84,169499,141.0,0,0
752,Asus,Notebook,Intel Core i5,4,Nvidia GeForce,No OS,2.45,51653,100.0,0,0
753,Lenovo,Ultrabook,Intel Core i5,4,Intel HD,Windows 10,1.7,97774,157.0,0,0
754,Asus,Notebook,Intel Core i7,4,Intel HD,Windows 10,2.37,75820,100.0,0,0
755,Lenovo,2 in 1 Convertible,Intel Core i5,8,Intel HD,Windows 10,1.3,106963,276.0,1,1
756,HP,Notebook,Intel Core i5,8,Nvidia GeForce,Windows 10,2.2,98042,141.0,1,0
757,HP,Workstation,Intel Core i7,8,Nvidia Quadro,Windows 7,2.59,139257,141.0,0,0
758,Dell,Gaming,Intel Core i7,16,Nvidia GeForce,Windows 10,4.42,255943,282.0,1,0
759,Acer,Notebook,Intel Core i5,4,Intel HD,Windows 10,2.1,53437,100.0,0,0
760,Lenovo,Gaming,Intel Core i7,8,Nvidia GeForce,Windows 10,2.5,93492,141.0,1,0
761,Dell,Ultrabook,Intel Core i7,16,Intel HD,Windows 10,1.18,165841,176.0,0,0
763,Asus,Ultrabook,Intel Core i5,8,Intel HD,Windows 10,1.2,100718,276.0,1,0
764,Dell,Notebook,Intel Core i3,4,Intel HD,Windows 10,1.65,75739,118.0,0,0
765,Acer,Notebook,Intel Core i5,4,Intel HD,Windows 10,1.6,58433,118.0,0,0
766,Asus,Notebook,Other Intel Processor,4,Nvidia GeForce,Windows 10,2.8,41959,91.0,0,0
767,Dell,Gaming,Intel Core i7,16,Nvidia GeForce,Windows 10,2.72,98042,282.0,1,1
769,Acer,Notebook,Other Intel Processor,4,Intel HD,Linux,2.1,26585,100.0,0,0
770,Dell,Notebook,Intel Core i7,16,AMD Radeon,Windows 10,2.3,105381,141.0,0,0
772,Toshiba,Notebook,Intel Core i5,4,Intel HD,Windows 10,1.75,90994,112.0,1,0
773,Dell,Gaming,Intel Core i7,8,Nvidia GeForce,Windows 10,2.62,98042,141.0,0,0
774,HP,Ultrabook,Intel Core i5,4,Intel HD,Windows 10,1.26,110977,125.0,0,0
775,Asus,2 in 1 Convertible,Intel Core i7,12,Nvidia GeForce,Windows 10,2.3,74847,141.0,0,1
776,Lenovo,Notebook,Intel Core i7,16,Nvidia Quadro,Windows 7,2.5,211428,282.0,0,0
777,Acer,Notebook,Intel Core i3,4,Intel HD,Windows 10,1.8,56738,157.0,1,0
779,Asus,Notebook,Other Intel Processor,8,Intel HD,Windows 10,2.0,51911,141.0,0,0
780,Dell,Gaming,Intel Core i7,32,Nvidia GeForce,Windows 10,4.42,320157,127.0,1,0
781,Asus,Gaming,Intel Core i7,16,Nvidia GeForce,Windows 10,4.3,209643,127.0,1,0
782,Toshiba,Ultrabook,Intel Core i7,16,Nvidia GeForce,Windows 10,1.47,157366,157.0,1,0
783,Lenovo,Notebook,Other Intel Processor,8,Intel HD,No OS,2.2,29350,100.0,0,0
784,Lenovo,Ultrabook,Intel Core i7,16,Intel HD,Windows 10,1.7,205094,157.0,0,0
785,MSI,Gaming,Intel Core i7,16,Nvidia GeForce,Windows 10,1.6,168696,157.0,1,0
786,MSI,Gaming,Intel Core i5,8,Nvidia GeForce,Windows 10,2.2,97150,141.0,0,0
787,Lenovo,Gaming,Intel Core i7,4,Nvidia GeForce,Windows 10,2.4,89121,141.0,1,0
788,Acer,Gaming,Intel Core i7,16,Nvidia GeForce,Windows 10,4.2,205094,127.0,1,0
789,Dell,Gaming,Intel Core i5,8,Nvidia GeForce,Windows 10,2.62,87872,141.0,0,0
790,Asus,Gaming,Intel Core i7,8,Nvidia GeForce,Windows 10,2.24,119452,141.0,0,0
792,Lenovo,2 in 1 Convertible,Intel Core i7,8,Intel HD,Windows 10,1.37,175744,166.0,1,1
793,Lenovo,2 in 1 Convertible,Intel Core i5,8,AMD Radeon,Windows 10,2.08,85552,141.0,0,1
795,Lenovo,2 in 1 Convertible,Intel Core i5,8,Intel HD,Windows 10,1.42,207859,210.0,1,1
796,Asus,Notebook,Other Intel Processor,4,Intel HD,Windows 10,1.63,26674,112.0,0,0
797,Dell,Notebook,Intel Core i5,8,Intel HD,Windows 10,1.95,72260,100.0,0,0
799,Dell,Notebook,Intel Core i3,8,AMD Radeon,Windows 10,2.0,65926,141.0,0,0
800,HP,Workstation,Intel Core i7,8,Nvidia Quadro,Windows 10,3.14,184210,141.0,0,0
801,Asus,Notebook,Intel Core i5,8,Intel HD,Windows 10,2.37,98042,141.0,0,0
802,Dell,Ultrabook,Intel Core i5,8,Intel HD,Windows 10,1.29,133726,166.0,0,0
803,Dell,Notebook,Intel Core i5,8,Nvidia GeForce,Windows 10,2.06,156028,282.0,0,1
804,Dell,Netbook,Other Intel Processor,4,Intel HD,Windows 10,1.63,66372,135.0,0,0
805,HP,Netbook,Intel Core i5,8,Intel HD,Windows 10,1.26,123913,125.0,0,0
806,Toshiba,Notebook,Intel Core i5,4,Intel HD,Windows 10,2.1,69584,100.0,0,0
807,HP,Notebook,AMD A-Series,8,AMD Radeon,Windows 10,2.04,56113,100.0,0,0
808,Dell,Gaming,Intel Core i7,16,Nvidia GeForce,Windows 10,2.62,149784,282.0,0,0
809,Lenovo,Notebook,Intel Core i5,4,Nvidia GeForce,Windows 10,2.4,54329,141.0,0,0
810,HP,Gaming,Intel Core i7,12,AMD Radeon,Windows 10,3.74,156028,127.0,1,0
811,MSI,Gaming,Intel Core i7,16,Nvidia GeForce,Windows 10,2.9,215442,127.0,0,0
813,Dell,Notebook,Intel Core i7,8,Nvidia GeForce,Windows 10,1.98,85731,141.0,0,0
814,Dell,Notebook,Intel Core i5,8,AMD Radeon,Windows 10,2.18,70459,141.0,0,0
815,Lenovo,Ultrabook,Intel Core i7,8,Intel HD,Windows 10,1.32,165841,157.0,0,0
817,HP,Netbook,Other Intel Processor,4,Intel HD,Chrome OS,1.23,34346,135.0,0,0
818,Dell,Gaming,Intel Core i7,16,Nvidia GeForce,Windows 10,4.36,223473,127.0,1,0
819,Dell,Notebook,Intel Core i5,4,Intel HD,Windows 10,1.76,67354,112.0,0,0
820,Lenovo,Notebook,Intel Core i3,4,Intel HD,Windows 10,2.1,43704,100.0,0,0
821,Toshiba,Ultrabook,Intel Core i5,4,Intel HD,Windows 10,1.25,97239,112.0,0,0
822,Lenovo,Ultrabook,Intel Core i7,8,Intel HD,Windows 10,1.13,222936,157.0,1,0
823,MSI,Gaming,Intel Core i5,8,Nvidia GeForce,Windows 10,2.4,106963,141.0,0,0
824,Lenovo,Ultrabook,Intel Core i5,8,Intel HD,Windows 10,1.13,167269,157.0,1,0
825,Toshiba,Notebook,Other Intel Processor,4,Intel HD,Windows 10,1.75,44516,112.0,0,0
826,Asus,2 in 1 Convertible,Intel Core i5,8,Intel HD,Windows 10,1.1,121147,166.0,0,1
827,Dell,Notebook,Intel Core i3,4,Intel HD,Windows 10,1.76,52188,112.0,0,0
828,Acer,Netbook,Other Intel Processor,4,Intel HD,Chrome OS,1.35,31670,135.0,1,0
829,Acer,Notebook,Intel Core i3,8,Intel HD,Windows 10,1.5,55221,157.0,1,0
831,Lenovo,Ultrabook,Intel Core i7,16,Intel HD,Windows 10,1.1,187252,210.0,1,0
832,Asus,Notebook,Intel Core i5,4,Nvidia GeForce,Linux,2.1,46300,141.0,0,0
833,Lenovo,Notebook,Intel Core i5,8,Intel HD,Windows 10,1.7,105803,157.0,0,0
834,Lenovo,Notebook,Intel Core i5,8,Intel HD,Windows 10,1.32,147196,157.0,1,0
835,Dell,Gaming,Intel Core i7,16,Nvidia GeForce,Windows 10,3.21,247525,141.0,0,0
836,Asus,Gaming,Intel Core i7,16,Nvidia GeForce,Windows 10,2.9,215799,127.0,0,0
837,Toshiba,Notebook,Intel Core i3,4,Intel HD,Windows 10,2.0,59681,100.0,0,0
838,Lenovo,Notebook,Other Intel Processor,4,Intel HD,Chrome OS,1.5,28993,112.0,0,0
839,Asus,Notebook,Intel Core i5,8,Intel HD,Windows 10,2.3,52634,141.0,0,0
840,Asus,Gaming,Intel Core i7,16,Nvidia GeForce,Windows 10,2.73,160489,127.0,0,0
841,Dell,Gaming,Intel Core i7,32,Nvidia GeForce,Windows 10,4.42,274133,127.0,1,0
842,HP,Notebook,Intel Core i5,8,Nvidia GeForce,Windows 10,2.63,81181,106.0,0,0
843,Dell,Notebook,Intel Core i5,8,Intel HD,Windows 10,2.18,63695,100.0,0,0
844,HP,Ultrabook,Intel Core i7,8,Intel HD,Windows 7,1.54,166823,157.0,0,0
845,Dell,Notebook,Intel Core i7,4,AMD Radeon,Windows 10,2.18,65926,141.0,0,0
846,HP,2 in 1 Convertible,Other Intel Processor,4,Intel HD,Chrome OS,1.4,54864,135.0,0,1
847,Asus,Ultrabook,Intel Core i5,8,Nvidia GeForce,Windows 10,1.45,91529,166.0,1,0
848,HP,2 in 1 Convertible,Intel Core i5,8,Intel HD,Windows 10,1.28,203131,166.0,0,1
849,HP,Ultrabook,Intel Core i7,8,Intel HD,Windows 10,1.54,130960,157.0,0,0
850,HP,Notebook,Other Intel Processor,4,Intel HD,No OS,1.86,26674,100.0,0,0
851,Asus,Gaming,Intel Core i7,16,Nvidia GeForce,Windows 10,2.1,169410,141.0,0,0
852,Dell,Notebook,Intel Core i7,8,AMD Radeon,Linux,2.83,77167,127.0,0,0
853,Lenovo,Ultrabook,Intel Core i7,8,Nvidia GeForce,Windows 10,1.96,169767,157.0,1,0
854,Asus,Notebook,Intel Core i7,8,Nvidia GeForce,Windows 10,2.3,70208,141.0,1,0
855,Dell,Notebook,Intel Core i5,8,Intel HD,Windows 10,1.9,84303,141.0,0,0
856,Asus,Notebook,Other Intel Processor,4,Intel HD,Windows 10,2.0,40055,100.0,0,0
857,HP,2 in 1 Convertible,Intel Core i7,8,Intel HD,Windows 10,1.28,228288,166.0,0,1
858,Dell,Notebook,Intel Core i5,8,Intel HD,Windows 10,1.62,57897,166.0,0,1
859,Lenovo,Notebook,Intel Core i3,4,Intel HD,No OS,2.2,41839,141.0,0,0
860,Lenovo,Notebook,Intel Core i5,8,Intel HD,Windows 10,2.3,75887,141.0,1,0
861,HP,Notebook,Intel Core i5,8,AMD Radeon,Windows 10,1.84,120344,141.0,0,0
862,Toshiba,Notebook,Intel Core i5,4,Intel HD,Windows 10,1.05,114635,166.0,0,0
863,Lenovo,Gaming,Intel Core i5,8,Nvidia GeForce,No OS,2.5,90727,141.0,1,0
864,Dell,Ultrabook,Intel Core i7,16,Intel Iris,Windows 10,1.29,199830,276.0,0,1
865,HP,Notebook,Intel Core i5,4,Intel HD,Windows 10,2.07,81181,141.0,0,0
866,Toshiba,Ultrabook,Intel Core i5,8,Intel HD,Windows 10,1.2,97685,118.0,0,0
867,Lenovo,2 in 1 Convertible,Intel Core i7,8,Intel HD,Windows 10,1.37,173960,166.0,1,1
868,Acer,Notebook,Intel Core i5,8,Intel HD,Windows 10,1.56,80467,157.0,1,0
869,Dell,Workstation,Intel Core i7,8,Nvidia Quadro,Windows 10,2.23,158615,141.0,0,0
870,Lenovo,Notebook,Intel Core i5,4,Intel HD,Windows 10,2.38,94117,100.0,0,0
871,Lenovo,Notebook,Intel Core i3,4,AMD Radeon,No OS,2.2,42732,141.0,0,0
872,Toshiba,Notebook,Intel Core i7,8,Intel HD,Windows 10,2.0,123823,141.0,1,0
873,Lenovo,Notebook,Intel Core i3,4,Intel HD,Windows 10,1.44,65569,166.0,1,0
875,Dell,Ultrabook,Intel Core i7,8,Intel HD,Windows 10,1.6,150765,176.0,0,0
876,Asus,Notebook,Other Intel Processor,4,Intel HD,Linux,2.0,35594,100.0,0,0
878,Dell,Notebook,Intel Core i5,4,Nvidia GeForce,Windows 10,2.18,81404,141.0,0,0
879,HP,Notebook,Intel Core i5,4,Intel HD,Windows 10,2.04,74847,141.0,0,0
880,HP,2 in 1 Convertible,Intel Core i5,4,Intel HD,Windows 10,1.28,151657,166.0,0,1
